id,coefficient
a27,-1.305061704777523
a31,-1.2362038796697545
a12,-1.1744608869425173
s6,-1.1711526947040376
a6,-0.99888760704631
s21,-0.8380052780359101
a30,-0.8219277147937619
s10,-0.8152537586559835
a33,-0.8010264404012202
a36,-0.7704396106068798
a48,-0.7506917178933137
a3,-0.6375797944252493
s35,-0.606540493100211
s18,-0.5806795148020274
s13,-0.5806583858188046
a24,-0.5770766445276131
s19,-0.5566372203975315
a42,-0.5189214759360178
a47,-0.5096908456370842
a5,-0.496778342462132
a18,-0.49429668924704767
s27,-0.48541328867758765
s17,-0.44787282088291164
s2,-0.4170429170696455
a8,-0.4009366138026028
s15,-0.3126642803767526
s33,-0.2947324803973943
a39,-0.29133072980687297
s3,-0.23573499173453868
a45,-0.20346656637195204
a2,-0.19032843541008007
a51,-0.17300773519963217
s4,-0.1538296155463567
s11,-0.12700629387219547
a15,-0.120577708355832
a21,-0.11393425439322331
s22,-0.09396113798103087
a11,-0.09129130367119792
a44,-0.08559725043341851
a37,-0.07678489598235613
a19,-0.051459300173074665
a9,-0.03214000288776965
a52,-0.013053957972139055
s26,-0.004583754706102854
a7,0.026884217230927453
a26,0.028083406704336584
s12,0.05041804830156255
a43,0.06378784510729998
a13,0.07092535699254554
s28,0.07182360765912982
a46,0.07872648614103306
a35,0.09505820518872324
s31,0.15986906859639727
a49,0.16244312447934972
a4,0.16655844540158304
s14,0.1681728971432609
s5,0.18791578238324907
s32,0.18892062623727185
a1,0.19462634307644444
a22,0.1969687394946078
a50,0.20517899204945642
s1,0.214141947056181
a16,0.22516413153043688
a32,0.2554868268095841
a23,0.2748937315757565
a17,0.28406689581400846
a10,0.29597438511538016
a38,0.32209105799406423
s9,0.3296619990882317
a14,0.3299351300648775
s29,0.3929424207352644
a20,0.39564365037596355
s16,0.40793364925261
a40,0.5595982309391366
s23,0.5726079468452484
a28,0.6356990106482553
s34,0.6951853561227179
s30,0.702032488835795
s24,0.715321307227172
a41,0.757569163666471
a25,0.7828377476401253
s25,0.8041085054483034
s8,0.8667395793367435
a29,0.8686667452995872
s7,0.9305041863746805
s20,0.9748732242451339
a34,1.2748297966155089
